Date,Open,High,Low,Close,Volume
2026-06-01,210.000000,211.399994,206.500000,210.570007,23733470
2026-06-02,209.009995,213.460007,208.570007,210.600006,29358964
2026-06-03,210.710007,212.490005,207.600006,211.889999,23198930
2026-06-04,210.419998,212.240005,209.309998,210.570007,18939468
2026-06-05,209.399994,210.500000,203.899994,206.770004,35802398
2026-06-08,203.440002,205.210007,201.600006,202.720001,31036948
2026-06-09,203.000000,204.000000,200.339996,203.179993,42111455
2026-06-10,203.000000,203.399994,198.000000,199.309998,34008938
2026-06-11,197.440002,199.350006,196.050003,197.960007,38292223
2026-06-12,200.000000,200.820007,195.800003,197.860001,27622963
2026-06-15,199.960007,200.949997,196.820007,197.279999,27071539
2026-06-16,197.509995,197.600006,193.309998,196.000000,29255187
2026-06-17,196.789993,199.500000,195.600006,199.009995,22491220
2026-06-18,199.009995,200.699997,198.149994,200.520004,22111931
2026-06-19,199.250000,199.360001,196.500000,198.960007,31571461
2026-06-22,199.300003,200.660004,198.699997,198.970001,19238506
2026-06-23,197.750000,197.979996,192.729996,193.559998,34634510
2026-06-24,192.800003,193.380005,189.589996,190.160004,51305789
2026-06-25,190.000000,190.860001,187.610001,188.710007,34151735
2026-06-26,188.710007,188.710007,188.710007,188.710007,0
2026-06-29,188.729996,191.270004,188.600006,189.570007,62549132
2026-06-30,189.500000,190.399994,187.050003,188.059998,33686235
2026-07-01,188.500000,188.710007,184.699997,185.169998,20614036
2026-07-02,186.000000,188.600006,185.139999,187.669998,29139217
2026-07-03,190.600006,192.979996,189.110001,189.800003,28474469
2026-07-06,190.389999,191.449997,189.190002,190.869995,14466645
2026-07-07,191.000000,191.300003,189.000000,189.789993,22805982
2026-07-08,187.660004,189.789993,186.520004,188.199997,17816943
2026-07-09,189.500000,189.869995,186.619995,187.910004,21203724
2026-07-10,189.679993,193.300003,188.740005,191.190002,23145573
2026-07-13,189.000000,189.270004,185.399994,187.110001,47597415
2026-07-14,186.699997,190.350006,186.699997,188.270004,24096425
2026-07-15,188.740005,189.330002,184.809998,185.259995,24924570
2026-07-16,186.500000,186.750000,184.910004,185.490005,13166990
2026-07-17,185.199997,186.589996,183.410004,185.889999,20132684
2026-07-20,186.679993,187.190002,185.759995,186.410004,11188887
2026-07-21,186.750000,188.100006,184.699997,187.240005,21618426
2026-07-22,187.990005,187.990005,184.910004,186.529999,16643117
2026-07-23,186.000000,186.000000,183.500000,184.229996,20581098
2026-07-24,183.410004,183.520004,181.199997,182.669998,16117953
2026-07-27,183.600006,184.889999,183.330002,184.250000,11857396
2026-07-28,184.309998,185.139999,182.009995,182.630005,19135253
2026-07-29,183.500000,188.669998,183.039993,187.270004,24872418
2026-07-30,188.009995,188.990005,186.100006,186.919998,13769746
2026-07-31,188.250000,191.839996,186.309998,189.690002,34249584
2026-08-03,192.940002,193.500000,188.490005,191.000000,27563681
2026-08-04,190.699997,192.600006,189.000000,190.949997,22165429
2026-08-05,192.250000,192.990005,189.839996,192.990005,22780522
2026-08-06,193.449997,193.649994,188.990005,189.300003,18802510
2026-08-07,189.410004,189.690002,186.750000,187.550003,9924021
2026-08-10,187.559998,192.350006,187.550003,190.240005,33338101
2026-08-11,190.240005,190.559998,186.779999,188.250000,20973262
2026-08-12,188.350006,188.880005,183.600006,186.199997,36484049
2026-08-13,186.199997,186.660004,183.460007,184.850006,19940424
2026-08-14,184.000000,184.190002,180.000000,183.500000,16131505
2026-08-17,183.500000,186.350006,182.059998,186.000000,16278106
2026-08-18,186.339996,187.110001,184.330002,185.500000,13393441
2026-08-19,184.160004,184.949997,182.500000,184.000000,15509632
2026-08-20,185.000000,185.600006,182.949997,183.500000,21782667
2026-08-21,184.399994,184.940002,182.000000,183.000000,26299054
2026-08-24,184.149994,186.300003,183.059998,186.300003,37800944
2026-08-25,186.300003,187.270004,183.500000,184.119995,16352019
2026-08-26,186.490005,189.949997,184.289993,188.009995,32183600
2026-08-27,188.050003,190.250000,186.500000,186.800003,40908212
2026-08-28,187.600006,188.789993,184.080002,186.500000,39370394
2026-08-31,185.350006,185.820007,181.399994,184.350006,36791727
