Symbol,Sector
20MICRONS,Basic Materials
63MOONS,Technology
AARTIDRUGS,Healthcare
ACMESOLAR,Utilities
ADOR,Industrials
AEGISVOPAK,Energy
AEROENTER,Basic Materials
AEROFLEX,Industrials
AGARWALEYE,Healthcare
AGI,Consumer Cyclical
AHCL,Healthcare
AJAXENGG,UNKNOWN
AKUMS,Healthcare
ALEMBICLTD,Real Estate
ALIVUS,Healthcare
ALKYLAMINE,Basic Materials
ALLCARGO,Industrials
AMBER,Consumer Cyclical
ANANTRAJ,UNKNOWN
ANTELOPUS,Energy
ANTHEM,Healthcare
APCOTEXIND,Basic Materials
APOLLO,UNKNOWN
ARFIN,Basic Materials
ARIES,Basic Materials
ARIHANTCAP,Financial Services
ARTEMISMED,UNKNOWN
ASIANENE,Energy
ATHERENERG,Consumer Cyclical
ATLANTAELE,Industrials
AUROPHARMA,Healthcare
AWL,Consumer Defensive
AXISBANK,Financial Services
AXISCADES,Industrials
BAJAJHCARE,UNKNOWN
BAJAJHIND,Consumer Defensive
BALMLAWRIE,Industrials
BBTC,Consumer Defensive
BEL,Industrials
BEML,Industrials
BEPL,UNKNOWN
BESTAGRO,Basic Materials
BHEL,Industrials
BIRLACABLE,Technology
BLKASHYAP,Industrials
BLUSPRING,Industrials
BOSCH-HCIL,UNKNOWN
BPCL,Energy
BRIGADE,Real Estate
CANHLIFE,Financial Services
CANTABIL,Consumer Cyclical
CARERATING,Financial Services
CARTRADE,Consumer Cyclical
CASTROLIND,Energy
CDSL,Financial Services
CENTENKA,Consumer Cyclical
CLEAN,Basic Materials
CLSEL,Consumer Defensive
COALINDIA,Energy
COFORGE,Technology
COHANCE,Healthcare
CONFIPET,Energy
CONTROLPR,Industrials
CRAFTSMAN,Consumer Cyclical
CRISIL,Financial Services
CSBBANK,Financial Services
CUB,Financial Services
DCW,Basic Materials
DEEPINDS,Energy
DEN,Communication Services
DIVISLAB,Healthcare
DLF,Real Estate
DWARKESH,Consumer Defensive
DYCL,Industrials
DYNAMATECH,Consumer Cyclical
EBGNG,Technology
ECLERX,Technology
EDELWEISS,Financial Services
EFCIL,Real Estate
ELGIEQUIP,Industrials
EPIGRAL,Basic Materials
EXPLEOSOL,Technology
FCL,Basic Materials
FEDFINA,Financial Services
FOSECOIND,Basic Materials
GARFIBRES,Consumer Cyclical
GCSL,Financial Services
GENUSPOWER,Industrials
GEOJITFSL,Financial Services
GLAXO,Healthcare
GLENMARK,Healthcare
GMBREW,Consumer Defensive
GMMPFAUDLR,Industrials
GOCLCORP,Basic Materials
GODREJAGRO,Consumer Defensive
GPPL,Industrials
GREENPLY,Basic Materials
GSFC,Basic Materials
GUFICBIO,Healthcare
GUJALKALI,Basic Materials
HCC,Industrials
HFCL,Technology
HIKAL,Healthcare
HINDOILEXP,Energy
HINDZINC,Basic Materials
HNDFDS,Industrials
HOMEFIRST,Financial Services
ICICIBANK,Financial Services
ICIL,Consumer Cyclical
IDBI,Financial Services
IDEA,Communication Services
IGL,Utilities
IIFLCAPS,Financial Services
IKIO,Technology
IMAGICAA,Communication Services
INDIGOPNTS,Basic Materials
INDNIPPON,Consumer Cyclical
INGERRAND,Industrials
JAGSNPHARM,Healthcare
JINDALPOLY,Consumer Cyclical
JINDALSTEL,Basic Materials
JINDRILL,Energy
JISLJALEQS,Industrials
JKPAPER,Basic Materials
JMFINANCIL,Financial Services
JSWDULUX,UNKNOWN
JUSTDIAL,Communication Services
KMEW,Industrials
KPIL,Industrials
KPRMILL,Consumer Cyclical
KRYSTAL,Industrials
KSL,Basic Materials
LOTUSDEV,Industrials
LUMAXIND,Consumer Cyclical
MAHABANK,Financial Services
MAHSCOOTER,Financial Services
MASTERTR,Financial Services
MAWANASUG,Consumer Defensive
MAXESTATES,Real Estate
MCX,Financial Services
MOL,Basic Materials
MOLDTKPAC,Consumer Cyclical
MSTCLTD,Industrials
NAVINFLUOR,Basic Materials
NCC,Industrials
NORTHARC,Financial Services
NPST,Technology
NSLNISP,Basic Materials
NUVAMA,Financial Services
NUVOCO,Basic Materials
PIRAMALFIN,Financial Services
PLATIND,Basic Materials
POLICYBZR,Financial Services
PRECWIRE,Industrials
PREMIERPOL,Basic Materials
PRSMJOHNSN,Basic Materials
PURVA,Real Estate
QUADFUTURE,Industrials
RAMRAT,Industrials
RAYMOND,Industrials
RELIANCE,Energy
RGL,Consumer Cyclical
RISHABH,Technology
ROSSTECH,Industrials
RSYSTEMS,Technology
SALSTEEL,Basic Materials
SBCL,Industrials
SBFC,Financial Services
SESHAPAPER,Basic Materials
SIMPLEXINF,Industrials
SINDHUTRAD,Industrials
SIS,Industrials
SKIPPER,Industrials
SOLARINDS,Basic Materials
SOMANYCERA,Industrials
SOTL,Basic Materials
SPECTRUM,Industrials
SPIC,Basic Materials
SPLPETRO,Basic Materials
SPORTKING,Consumer Cyclical
STAR,Healthcare
STOVEKRAFT,Consumer Cyclical
SUNDARMFIN,Financial Services
SURAKSHA,Healthcare
SUVEN,Healthcare
SWANDEF,Industrials
THEMISMED,Healthcare
TIL,Industrials
TITAGARH,Industrials
TNPETRO,Basic Materials
TVSSRICHAK,Consumer Cyclical
UNIPARTS,Industrials
USHAMART,Basic Materials
UTKARSHBNK,Financial Services
WOCKPHARMA,Healthcare
