Date,Open,High,Low,Close,Volume
2023-09-08,16818.650390625,17325.0,16722.05078125,17137.900390625,12010
2023-09-11,17130.05078125,17390.0,17051.0,17339.900390625,4957
2023-09-12,17390.0,17390.0,16900.0,17099.30078125,4073
2023-09-13,17047.150390625,17499.94921875,16900.0,17322.0,3072
2023-09-14,17338.0,17687.25,17020.0,17230.849609375,4202
2023-09-15,17316.0,17504.05078125,17261.55078125,17452.150390625,22245
2023-09-18,17432.0,17624.80078125,17400.0,17480.650390625,15632
2023-09-20,17480.0,17612.75,17368.80078125,17497.150390625,9977
2023-09-21,17443.75,17481.05078125,17094.5,17163.349609375,1804
2023-09-22,17182.5,17819.94921875,17095.849609375,17677.69921875,8695
2023-09-25,17704.849609375,17800.0,17460.150390625,17562.80078125,2414
2023-09-26,17600.0,17815.30078125,17531.150390625,17715.69921875,13878
2023-09-27,17678.150390625,18490.0,17632.099609375,18367.599609375,17658
2023-09-28,18307.05078125,18597.94921875,17411.0,17717.69921875,13795
2023-09-29,17800.0,18089.900390625,17581.25,17952.44921875,10555
2023-10-03,17949.75,18125.75,17640.0,17786.650390625,4677
2023-10-04,17820.0,18000.0,17626.0,17773.150390625,11037
2023-10-05,17785.0,18000.0,17721.0,17819.900390625,3218
2023-10-06,17901.849609375,18052.150390625,17721.599609375,17891.69921875,3152
2023-10-09,17700.099609375,17904.650390625,17505.099609375,17599.44921875,1991
2023-10-10,17692.05078125,17885.0,17611.05078125,17769.349609375,7689
2023-10-11,17769.900390625,17858.150390625,17650.05078125,17761.30078125,1664
2023-10-12,17850.0,17897.69921875,17605.05078125,17683.900390625,1491
2023-10-13,17682.05078125,17743.19921875,17605.5,17639.0,1138
2023-10-16,17776.94921875,17777.0,17526.099609375,17598.69921875,1687
2023-10-17,17598.0,17603.849609375,17205.099609375,17346.849609375,3885
2023-10-18,17411.599609375,17472.0,17233.099609375,17274.55078125,1342
2023-10-19,17311.599609375,17488.0,17210.0,17364.0,1721
2023-10-20,17319.69921875,17590.0,17023.05078125,17140.599609375,2705
2023-10-23,17140.599609375,17224.0,16825.150390625,16906.05078125,1675
2023-10-25,16906.05078125,17544.25,16740.0,17181.75,12506
2023-10-26,17181.75,17284.599609375,16751.0,16859.650390625,3526
2023-10-27,16883.55078125,17076.400390625,16820.150390625,17000.5,15845
2023-10-30,17000.5,17199.25,16625.19921875,16681.80078125,3781
2023-10-31,17290.0,17673.0,16745.150390625,17540.69921875,44193
2023-11-01,17540.0,17899.900390625,17387.05078125,17816.099609375,27496
2023-11-02,17825.0,18000.0,17336.0,17824.55078125,8281
2023-11-03,17790.0,17870.0,17336.0,17538.099609375,4353
2023-11-06,17539.099609375,17750.0,17539.099609375,17656.19921875,2935
2023-11-07,17656.19921875,18003.099609375,17400.0,17508.400390625,7107
2023-11-08,17589.0,17748.0,17510.05078125,17570.05078125,6445
2023-11-09,17656.19921875,17656.19921875,17195.099609375,17223.94921875,4731
2023-11-10,17320.150390625,17965.650390625,17250.05078125,17810.69921875,13962
2023-11-13,17852.44921875,17952.0,17623.55078125,17782.0,3156
2023-11-15,17875.599609375,18339.05078125,17684.94921875,18186.099609375,4231
2023-11-16,18250.0,18498.0,18075.0,18147.650390625,4886
2023-11-17,18110.0,18790.0,18029.05078125,18427.55078125,13397
